Nordnet;SAVE;SEK;SE0015192067;Financials;3020
Samh�llsbyggnadsbo. i Norden B;SBB B;SEK;SE0009554454;Real Estate;3510
Samh�llsbyggnadsbo. i Norden D;SBB D;SEK;SE0011844091;Real Estate;3510
SCA A;SCA A;SEK;SE0000171886;Basic Materials;5510
SCA B;SCA B;SEK;SE0000112724;Basic Materials;5510
SEB A;SEB A;SEK;SE0000148884;Financials;3010
SEB C;SEB C;SEK;SE0000120784;Financials;3010
SECTRA B;SECT B;SEK;SE0020539310;Health Care;2010
Securitas B;SECU B;SEK;SE0000163594;Industrials;5020
Sv. Handelsbanken A;SHB A;SEK;SE0007100599;Financials;3010
Sv. Handelsbanken B;SHB B;SEK;SE0007100607;Financials;3010
Sinch;SINCH;SEK;SE0016101844;Technology;1010
Skanska B;SKA B;SEK;SE0000113250;Industrials;5010
SKF A;SKF A;SEK;SE0000108201;Basic Materials;5510
SKF B;SKF B;SEK;SE0000108227;Basic Materials;5510
Swedish Orphan Biovitrum;SOBI;SEK;SE0000872095;Health Care;2010
SSAB A;SSAB A;SEK;SE0000171100;Basic Materials;5510
SSAB B;SSAB B;SEK;SE0000120669;Basic Materials;5510
Stora Enso A;STE A;SEK;FI0009007603;Basic Materials;5510
Stora Enso R;STE R;SEK;FI0009007611;Basic Materials;5510
Storskogen Group B;STOR B;SEK;SE0016797732;Financials;3020
SWECO A;SWEC A;SEK;SE0014960365;Industrials;5010
SWECO B;SWEC B;SEK;SE0014960373;Industrials;5010
Swedbank A;SWED A;SEK;SE0000242455;Financials;3010
Systemair;SYSR;SEK;SE0016609499;Industrials;5010
Tele2 A;TEL2 A;SEK;SE0005190220;Telecommunications;1510
Tele2 B;TEL2 B;SEK;SE0005190238;Telecommunications;1510
Telia Company;TELIA;SEK;SE0000667925;Telecommunications;1510
Thule Group;THULE;SEK;SE0006422390;Consumer Services;4020
TietoEVRY Oyj;TIETOS;SEK;FI0009000277;Technology;1010
Millicom Int. Cellular SDB;TIGO SDB;SEK;SE0001174970;Telecommunications;1510
Trelleborg B;TREL B;SEK;SE0000114837;Industrials;5020
Troax Group;TROAX;SEK;SE0012729366;Basic Materials;5510
Truecaller B;TRUE B;SEK;SE0016787071;Technology;1010
Vitec Software Group B;VIT B;SEK;SE0007871363;Technology;1010
Vitrolife;VITR;SEK;SE0011205202;Health Care;2010
Volvo Car B;VOLCAR B;SEK;SE0016844831;Consumer Services;4010
Volvo A;VOLV A;SEK;SE0000115420;Industrials;5020
Volvo B;VOLV B;SEK;SE0000115446;Industrials;5020
Wallenstam B;WALL B;SEK;SE0017780133;Real Estate;3510
Wihlborgs Fastigheter;WIHL;SEK;SE0018012635;Real Estate;3510
AcadeMedia;ACAD;SEK;SE0007897079;Consumer Services;4020
Alimak Group;ALIG;SEK;SE0007158910;Industrials;5020
Alligo B;ALLIGO B;SEK;SE0009922305;Industrials;5020
Ambea;AMBEA;SEK;SE0009663826;Health Care;2010
Africa Oil;AOI;SEK;CA00829Q1019;Energy;6010
AQ Group;AQ;SEK;SE0000772956;Industrials;5020
Arise;ARISE;SEK;SE0002095604;Utilities;6510
Arctic Paper;ARP;SEK;PLARTPR00012;Basic Materials;5510
Attendo;ATT;SEK;SE0007666110;Health Care;2010
Bactiguard Holding B;BACTI B;SEK;SE0005878741;Health Care;2010
Beijer Alma B;BEIA B;SEK;SE0011090547;Basic Materials;5510
Bergman & Beving B;BERG B;SEK;SE0000101362;Industrials;5020
Byggfakta Group Nordic HoldCo;BFG;SEK;SE0016798581;Technology;1010
BHG Group;BHG;SEK;SE0010948588;Consumer Services;4040
BICO Group;BICO;SEK;SE0013647385;Health Care;2010
BioInvent International;BINV;SEK;SE0015244520;Health Care;2010
BioGaia B;BIOG B;SEK;SE0017769995;Health Care;2010
Byggmax Group;BMAX;SEK;SE0003303627;Consumer Services;4040
Bonava A;BONAV A;SEK;SE0008091573;Consumer Services;4020
Bonava B;BONAV B;SEK;SE0008091581;Consumer Services;4020
BONESUPPORT HOLDING;BONEX;SEK;SE0009858152;Health Care;2010
Boozt;BOOZT;SEK;SE0009888738;Consumer Services;4040
Brinova Fastigheter B;BRIN B;SEK;SE0008347652;Real Estate;3510
BTS Group B;BTS B;SEK;SE0000805426;Industrials;5020
Bufab;BUFAB;SEK;SE0005677135;Industrials;5020
Calliditas Therapeutics;CALTX;SEK;SE0010441584;Health Care;2010
Catella A;CAT A;SEK;SE0000188500;Financials;3020
Catella B;CAT B;SEK;SE0000188518;Financials;3020
Cavotec;CCC;SEK;CH0136071542;Industrials;5020
CellaVision;CEVI;SEK;SE0000683484;Health Care;2010
Cibus Nordic Real Estate;CIBUS;SEK;SE0010832204;Real Estate;3510
Cint Group;CINT;SEK;SE0015483276;Technology;1010
Cloetta B;CLA B;SEK;SE0002626861;Consumer Goods;4510
Clas Ohlson B;CLAS B;SEK;SE0000584948;Consumer Services;4040
Concentric;COIC;SEK;SE0003950864;Industrials;5020
Coor Service Management Hold.;COOR;SEK;SE0007158829;Industrials;5020
Copperstone Resources;COPP;SEK;SE0021148160;Basic Materials;5510
CoinShares International;CS;SEK;JE00BLD8Y945;Financials;3020
CTEK;CTEK;SEK;SE0016798763;Energy;6010
Catena Media;CTM;SEK;MT0001000109;Consumer Services;4030
CTT Systems;CTT;SEK;SE0000418923;Industrials;5020
Duni;DUNI;SEK;SE0000616716;Consumer Goods;4520
Dustin Group;DUST;SEK;SE0006625471;Consumer Services;4040
Eastnine;EAST;SEK;SE0002158568;Real Estate;3510
Elanders B;ELAN B;SEK;SE0000119299;Industrials;5020
Fastighetsbolaget Emilshus B;EMIL B;SEK;SE0016785786;Real Estate;3510
Fastighetsbolag. Emilshus Pref;EMIL PREF;SEK;SE0016785794;Real Estate;3510
Enea;ENEA;SEK;SE0009697220;Technology;1010
engcon B;ENGCON B;SEK;SE0017769847;Industrials;5020
Eolus Vind B;EOLU B;SEK;SE0007075056;Energy;6010
Ependion;EPEN;SEK;SE0000671711;Industrials;5020
Ework Group;EWRK;SEK;SE0002402701;Industrials;5020
Fagerhult Group;FAG;SEK;SE0010048884;Industrials;5010
Fasadgruppen Group;FG;SEK;SE0015195771;Industrials;5010
FM Mattsson Mora Group B;FMM B;SEK;SE0018040883;Industrials;5010
G5 Entertainment;G5EN;SEK;SE0001824004;Consumer Services;4020
Garo;GARO;SEK;SE0015812417;Technology;1010
Gaming Innovation Group;GIGSEK;SEK;US36467X2062;Consumer Services;4050
Genova Property Group;GPG;SEK;SE0007184189;Real Estate;3510
Green Landscaping Group;GREEN;SEK;SE0010985028;Industrials;5010
Gr�nges;GRNG;SEK;SE0006288015;Consumer Services;4010
HANZA;HANZA;SEK;SE0005878543;Industrials;5020
HEBA B;HEBA B;SEK;SE0017911480;Real Estate;3510
Hansa Biopharma;HNSA;SEK;SE0002148817;Health Care;2010
Hoist Finance;HOFI;SEK;SE0006887063;Financials;3020
Hexatronic Group;HTRO;SEK;SE0018040677;Telecommunications;1510
Humana;HUM;SEK;SE0008040653;Health Care;2010
I.A.R Systems Group;IAR B;SEK;SE0005851706;Technology;1010
Inwido;INWI;SEK;SE0006220018;Industrials;5010
ITAB Shop Concept;ITAB;SEK;SE0015962097;Industrials;5010
INVISIO;IVSO;SEK;SE0001200015;Industrials;5020
John Mattson Fastighetsf�ret.;JOMA;SEK;SE0012481364;Real Estate;3510
KABE Group B;KABE B;SEK;SE0000107724;Consumer Services;4020
Karnov Group;KAR;SEK;SE0012323715;Consumer Services;4020
K-Fast Holding B;KFAST B;SEK;SE0016101679;Real Estate;3510
KlaraBo Sverige B;KLARA B;SEK;SE0010832287;Real Estate;3510
Knowit;KNOW;SEK;SE0000421273;Technology;1010
Lime Technologies;LIME;SEK;SE0011870195;Technology;1010
Linc;LINC;SEK;SE0015949433;Financials;3020
Logistea A;LOGI A;SEK;SE0017131329;Real Estate;3510
Logistea B;LOGI B;SEK;SE0017131337;Real Estate;3510
Lucara Diamond Corp;LUC;SEK;CA54928Q1081;Basic Materials;5510
Mangold;MANG;SEK;SE0001449380;Financials;3020
MedCap;MCAP;SEK;SE0009160872;Health Care;2010
MEKO;MEKO;SEK;SE0002110064;Consumer Services;4010
Mildef Group;MILDEF;SEK;SE0016074249;Industrials;5020
Momentum Group B;MMGR B;SEK;SE0017562523;Industrials;5020
Net Insight B;NETI B;SEK;SE0000366098;Telecommunications;1510
Nivika Fastigheter B;NIVI B;SEK;SE0017083272;Real Estate;3510
Nederman Holding;NMAN;SEK;SE0011204510;Industrials;5010
Nobia;NOBI;SEK;SE0000949331;Consumer Services;4020
Norion Bank;NORION;SEK;SE0017831795;Financials;3010
Norva24 Group;NORVA;SEK;SE0017084759;Industrials;5020
NOTE;NOTE;SEK;SE0001161654;Industrials;5020
Nordic Paper Holding;NPAPER;SEK;SE0014808838;Basic Materials;5510
Nordic Waterproofing Holding;NWG;SEK;SE0014731089;Industrials;5010
OEM International B;OEM B;SEK;SE0017766843;Industrials;5020
�resund;ORES;SEK;SE0008321608;Financials;3020
Orr�n Energy;ORRON;SEK;SE0000825820;Energy;6010
Proact IT Group;PACT;SEK;SE0015961222;Technology;1010
PowerCell Sweden;PCELL;SEK;SE0006425815;Industrials;5020
Platzer Fastigheter Holding B;PLAZ B;SEK;SE0004977692;Real Estate;3510
Profoto Holding;PRFO;SEK;SE0015962147;Industrials;5020
Pricer B;PRIC B;SEK;SE0000233934;Technology;1010
Probi;PROB;SEK;SE0001280355;Health Care;2010
RaySearch Laboratories B;RAY B;SEK;SE0000135485;Health Care;2010
Rejlers B;REJL B;SEK;SE0000123671;Industrials;5020
Resurs Holding;RESURS;SEK;SE0007665823;Financials;3020
Rottneros;RROS;SEK;SE0000112252;Basic Materials;5510
Rusta;RUSTA;SEK;SE0020848356;Consumer Services;4040
RVRC Holding;RVRC;SEK;SE0015962485;Consumer Services;4040
Scandi Standard;SCST;SEK;SE0005999760;Consumer Goods;4510
Sdiptech B;SDIP B;SEK;SE0003756758;Industrials;5020
Sdiptech Pref;SDIP PREF;SEK;SE0006758348;Industrials;5020
Sedana Medical;SEDANA;SEK;SE0015988373;Health Care;2010
Stillfront Group;SF;SEK;SE0015346135;Consumer Services;4020
Scandic Hotels Group;SHOT;SEK;SE0007640156;Consumer Services;4050
SkiStar B;SKIS B;SEK;SE0012141687;Consumer Services;4050
Swedish Logistic Property B;SLP B;SEK;SE0017565476;Real Estate;3510
Stend�rren Fastigheter B;STEF B;SEK;SE0006543344;Real Estate;3510
Svolder A;SVOL A;SEK;SE0017161441;Financials;3020
Svolder B;SVOL B;SEK;SE0017161458;Financials;3020
Synsam;SYNSAM;SEK;SE0016829709;Consumer Services;4020
Tobii Dynavox;TDVOX;SEK;SE0017105620;Technology;1010
Tethys Oil;TETY;SEK;SE0020180917;Energy;6010
TF Bank;TFBANK;SEK;SE0007331608;Financials;3010
Traction B;TRAC B;SEK;SE0000391716;Financials;3020
Trianon B;TRIAN B;SEK;SE0018013658;Real Estate;3510
VBG GROUP B;VBG B;SEK;SE0000115107;Consumer Services;4010
VEF;VEFAB;SEK;SE0016128151;Financials;3020
Vestum;VESTUM;SEK;SE0017134125;Consumer Services;4040
VNV Global;VNV;SEK;SE0014428835;Financials;3020
Volati;VOLO;SEK;SE0009143662;Industrials;5020
Volati Pref;VOLO PREF;SEK;SE0009143670;Industrials;5020
Viaplay Group A;VPLAY A;SEK;SE0012324226;Telecommunications;1510
Viaplay Group B;VPLAY B;SEK;SE0012116390;Telecommunications;1510
XANO Industri B;XANO B;SEK;SE0018014151;Industrials;5020
Xvivo Perfusion;XVIVO;SEK;SE0004840718;Health Care;2010
Abliva;ABLI;SEK;SE0002575340;Health Care;2010
Ascelia Pharma;ACE;SEK;SE0010573113;Health Care;2010
Acrinova A;ACRI A;SEK;SE0015660014;Real Estate;3510
Acrinova B;ACRI B;SEK;SE0015660030;Real Estate;3510
Active Biotech;ACTI;SEK;SE0001137985;Health Care;2010
Annehem Fastigheter B;ANNE B;SEK;SE0015221684;Real Estate;3510
Anoto Group;ANOT;SEK;SE0010415281;Technology;1010
Arla Plast;ARPL;SEK;SE0015810817;Industrials;5020
Actic Group;ATIC;SEK;SE0009269467;Consumer Services;4050
Alligator Bioscience;ATORX;SEK;SE0000767188;Health Care;2010
B3 Consulting Group;B3;SEK;SE0008347660;Technology;1010
Balco Group;BALCO;SEK;SE0010323998;Industrials;5010
BE Group;BEGR;SEK;SE0008321921;Basic Materials;5510
Besqab;BESQ;SEK;SE0005991411;Consumer Services;4020
