Symbol,Shortname,Longname,Sector,Industry,City,State,Country,Identifier
LVS,Las Vegas Sands Corp.,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,Las Vegas,NV,United States,NYSE
EA,Electronic Arts Inc.,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,Redwood City,CA,United States,NASDAQ_SE
VRSK,Verisk Analytics Inc.,Verisk Analytics Inc.,Industrials,Consulting Services,Jersey City,NJ,United States,NASDAQ_SE
DAL,Delta Air Lines Inc.,Delta Air Lines Inc.,Industrials,Airlines,Atlanta,GA,United States,NYSE
IT,Gartner Inc.,Gartner Inc.,Technology,Information Technology Services,Stamford,CT,United States,NYSE
XYL,Xylem Inc.,Xylem Inc.,Industrials,Specialty Industrial Machinery,Washington,DC,United States,NYSE
ED,Consolidated Edison Inc.,Consolidated Edison Inc.,Utilities,Utilities - Regulated Electric,New York,NY,United States,NYSE
CTSH,Cognizant Technology Solutions,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,Teaneck,NJ,United States,NASDAQ_SE
DD,DuPont de Nemours Inc.,DuPont de Nemours Inc.,Basic Materials,Specialty Chemicals,Wilmington,DE,United States,NYSE
HWM,Howmet Aerospace Inc.,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,Pittsburgh,PA,United States,NYSE
HAL,Halliburton Company,Halliburton Company,Energy,Oil & Gas Equipment & Services,Houston,TX,United States,NYSE
LYB,LyondellBasell Industries NV,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,Houston,TX,United States,NYSE
GRMN,Garmin Ltd.,Garmin Ltd.,Technology,Scientific & Technical Instruments,Schaffhausen,,Switzerland,NYSE
BIIB,Biogen Inc.,Biogen Inc.,Healthcare,Drug Manufacturers - General,Cambridge,MA,United States,NASDAQ_SE
DVN,Devon Energy Corporation,Devon Energy Corporation,Energy,Oil & Gas E&P,Oklahoma City,OK,United States,NYSE
BKR,Baker Hughes Company,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,Houston,TX,United States,NASDAQ_SE
RMD,ResMed Inc.,ResMed Inc.,Healthcare,Medical Instruments & Supplies,San Diego,CA,United States,NYSE
ROK,Rockwell Automation Inc.,Rockwell Automation Inc.,Industrials,Specialty Industrial Machinery,Milwaukee,WI,United States,NYSE
