Exchange,Symbol,ShortName,LongName,Sector,Industry,City,State,Country
NMS,MSFT,Microsoft Corporation,Microsoft Corporation,Technology,Software - Infrastructure,Redmond,WA,United States
NMS,AAPL,Apple Inc.,Apple Inc.,Technology,Consumer Electronics,Cupertino,CA,United States
NMS,NVDA,NVIDIA Corporation,NVIDIA Corporation,Technology,Semiconductors,Santa Clara,CA,United States
NMS,GOOGL,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,Mountain View,CA,United States
NMS,GOOG,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,Mountain View,CA,United States
NMS,AMZN,Amazon.com Inc.,Amazon.com Inc.,Consumer Cyclical,Internet Retail,Seattle,WA,United States
NMS,META,Meta Platforms Inc.,Meta Platforms Inc.,Communication Services,Internet Content & Information,Menlo Park,CA,United States
NYQ,BRK-B,Berkshire Hathaway Inc. New,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,Omaha,NE,United States
NYQ,LLY,Eli Lilly and Company,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,Indianapolis,IN,United States
NMS,AVGO,Broadcom Inc.,Broadcom Inc.,Technology,Semiconductors,Palo Alto,CA,United States
NMS,TSLA,Tesla Inc.,Tesla Inc.,Consumer Cyclical,Auto Manufacturers,Austin,TX,United States
NYQ,V,Visa Inc.,Visa Inc.,Financial Services,Credit Services,San Francisco,CA,United States
NYQ,JPM,JP Morgan Chase & Co.,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,New York,NY,United States
NYQ,XOM,Exxon Mobil Corporation,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,Spring,TX,United States
NYQ,WMT,Walmart Inc.,Walmart Inc.,Consumer Defensive,Discount Stores,Bentonville,AR,United States
NYQ,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,Minnetonka,MN,United States
NYQ,MA,Mastercard Incorporated,Mastercard Incorporated,Financial Services,Credit Services,Purchase,NY,United States
NYQ,PG,Procter & Gamble Company,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,Cincinnati,OH,United States
NYQ,JNJ,Johnson & Johnson,Johnson & Johnson,Healthcare,Drug Manufacturers - General,New Brunswick,NJ,United States
NYQ,HD,Home Depot Inc.,The Home Depot Inc.,Consumer Cyclical,Home Improvement Retail,Atlanta,GA,United States
NMS,COST,Costco Wholesale Corporation,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,Issaquah,WA,United States
NYQ,ORCL,Oracle Corporation,Oracle Corporation,Technology,Software - Infrastructure,Austin,TX,United States
NYQ,MRK,Merck & Company Inc.,Merck & Co. Inc.,Healthcare,Drug Manufacturers - General,Rahway,NJ,United States
NYQ,CVX,Chevron Corporation,Chevron Corporation,Energy,Oil & Gas Integrated,San Ramon,CA,United States
NYQ,BAC,Bank of America Corporation,Bank of America Corporation,Financial Services,Banks - Diversified,Charlotte,NC,United States
NYQ,ABBV,AbbVie Inc.,AbbVie Inc.,Healthcare,Drug Manufacturers - General,North Chicago,IL,United States
NYQ,KO,Coca Cola Company,The Coca Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,Atlanta,GA,United States
NYQ,CRM,Salesforce Inc.,Salesforce Inc.,Technology,Software - Application,San Francisco,CA,United States
NMS,NFLX,Netflix Inc.,Netflix Inc.,Communication Services,Entertainment,Los Gatos,CA,United States
NMS,AMD,Advanced Micro Devices Inc.,Advanced Micro Devices Inc.,Technology,Semiconductors,Santa Clara,CA,United States
NMS,PEP,Pepsico Inc.,PepsiCo Inc.,Consumer Defensive,Beverages - Non-Alcoholic,Purchase,NY,United States
NMS,ADBE,Adobe Inc.,Adobe Inc.,Technology,Software - Infrastructure,San Jose,CA,United States
NYQ,TMO,rmo Fisher Scientific Inc,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,Waltham,MA,United States
NYQ,DIS,Walt Disney Company,The Walt Disney Company,Communication Services,Entertainment,Burbank,CA,United States
NYQ,WFC,Wells Fargo & Company,Wells Fargo & Company,Financial Services,Banks - Diversified,San Francisco,CA,United States
NMS,LIN,Linde plc,Linde plc,Basic Materials,Specialty Chemicals,Woking,,United Kingdom
NMS,QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated,Technology,Semiconductors,San Diego,CA,United States
NYQ,MCD,McDonald's Corporation,McDonald's Corporation,Consumer Cyclical,Restaurants,Chicago,IL,United States
NMS,TMUS,T Mobile US Inc.,T Mobile US Inc.,Communication Services,Telecom Services,Bellevue,WA,United States
NYQ,ACN,Accenture plc,Accenture plc,Technology,Information Technology Services,Dublin,,Ireland
NMS,CSCO,Cisco Systems Inc.,Cisco Systems Inc.,Technology,Communication Equipment,San Jose,CA,United States
NYQ,DHR,Danaher Corporation,Danaher Corporation,Healthcare,Diagnostics & Research,Washington,DC,United States
NYQ,GE,GE Aerospace,General Electric Company,Industrials,Aerospace & Defense,Evendale,OH,United States
NYQ,ABT,Abbott Laboratories,Abbott Laboratories,Healthcare,Medical Devices,North Chicago,IL,United States
NMS,INTU,Intuit Inc.,Intuit Inc.,Technology,Software - Application,Mountain View,CA,United States
NMS,AMAT,Applied Materials Inc.,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,Santa Clara,CA,United States
NYQ,AXP,American Express Company,American Express Company,Financial Services,Credit Services,New York,NY,United States
NYQ,CAT,Caterpillar Inc.,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,Irving,TX,United States
NYQ,VZ,Verizon Communications Inc.,Verizon Communications Inc.,Communication Services,Telecom Services,New York,NY,United States
NMS,TXN,Texas Instruments Incorporated,Texas Instruments Incorporated,Technology,Semiconductors,Dallas,TX,United States
NMS,AMGN,Amgen Inc.,Amgen Inc.,Healthcare,Drug Manufacturers - General,Thousand Oaks,CA,United States
NYQ,PFE,Pfizer Inc.,Pfizer Inc.,Healthcare,Drug Manufacturers - General,New York,NY,United States
NYQ,IBM,International Business Machines,International Business Machines Corporation,Technology,Information Technology Services,Armonk,NY,United States
NYQ,MS,Morgan Stanley,Morgan Stanley,Financial Services,Capital Markets,New York,NY,United States
NMS,CMCSA,Comcast Corporation,Comcast Corporation,Communication Services,Telecom Services,Philadelphia,PA,United States
NYQ,PM,Philip Morris International Inc,Philip Morris International Inc.,Consumer Defensive,Tobacco,Stamford,CT,United States
NYQ,NOW,ServiceNow Inc.,ServiceNow Inc.,Technology,Software - Application,Santa Clara,CA,United States
NYQ,UBER,Uber Technologies Inc.,Uber Technologies Inc.,Technology,Software - Application,San Francisco,CA,United States
NYQ,UNP,Union Pacific Corporation,Union Pacific Corporation,Industrials,Railroads,Omaha,NE,United States
NYQ,NEE,NextEra Energy Inc.,NextEra Energy Inc.,Utilities,Utilities - Regulated Electric,Juno Beach,FL,United States
NYQ,COP,ConocoPhillips,ConocoPhillips,Energy,Oil & Gas E&P,Houston,TX,United States
NYQ,BX,Blackstone Inc.,Blackstone Inc.,Financial Services,Asset Management,New York,NY,United States
NYQ,GS,Goldman Sachs Group Inc.,The Goldman Sachs Group Inc.,Financial Services,Capital Markets,New York,NY,United States
NYQ,NKE,Nike Inc.,NIKE Inc.,Consumer Cyclical,Footwear & Accessories,Beaverton,OR,United States
NYQ,SCHW,Charles Schwab Corporation (,The Charles Schwab Corporation,Financial Services,Capital Markets,Westlake,TX,United States
NMS,ISRG,Intuitive Surgical Inc.,Intuitive Surgical Inc.,Healthcare,Medical Instruments & Supplies,Sunnyvale,CA,United States
