Exchange,Symbol,ShortName,LongName,Sector,Industry,City,State,Country
NYQ,ALL,Allstate Corporation,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,Northbrook,IL,United States
NMS,LULU,lululemon athletica inc.,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,Vancouver,BC,Canada
NYQ,COR,Cencora Inc.,Cencora Inc.,Healthcare,Medical Distribution,Conshohocken,PA,United States
NMS,ROST,Ross Stores Inc.,Ross Stores Inc.,Consumer Cyclical,Apparel Retail,Dublin,CA,United States
NYQ,LEN,Lennar Corporation,Lennar Corporation,Consumer Cyclical,Residential Construction,Miami,FL,United States
NYQ,TEL,TE Connectivity Ltd. New Switze,TE Connectivity Ltd.,Technology,Electronic Components,Schaffhausen,,Switzerland
NMS,PAYX,Paychex Inc.,Paychex Inc.,Industrials,Staffing & Employment Services,Rochester,NY,United States
NMS,KHC,Kraft Heinz Company,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,Pittsburgh,PA,United States
NYQ,D,Dominion Energy Inc.,Dominion Energy Inc.,Utilities,Utilities - Regulated Electric,Richmond,VA,United States
NYQ,BK,Bank of New York Mellon Cor,The Bank of New York Mellon Corporation,Financial Services,Asset Management,New York,NY,United States
NYQ,JCI,Johnson Controls International,Johnson Controls International plc,Industrials,Building Products & Equipment,Cork,,Ireland
NYQ,AMP,Ameriprise Financial Inc.,Ameriprise Financial Inc.,Financial Services,Asset Management,Minneapolis,MN,United States
NYQ,CCI,Crown Castle Inc.,Crown Castle Inc.,Real Estate,REIT - Specialty,Houston,TX,United States
NYQ,NUE,Nucor Corporation,Nucor Corporation,Basic Materials,Steel,Charlotte,NC,United States
NYQ,PRU,Prudential Financial Inc.,Prudential Financial Inc.,Financial Services,Insurance - Life,Newark,NJ,United States
NYQ,IQV,IQVIA Holdings Inc.,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,Durham,NC,United States
NYQ,KMI,Kinder Morgan Inc.,Kinder Morgan Inc.,Energy,Oil & Gas Midstream,Houston,TX,United States
NYQ,A,Agilent Technologies Inc.,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,Santa Clara,CA,United States
NYQ,LHX,L3Harris Technologies Inc.,L3Harris Technologies Inc.,Industrials,Aerospace & Defense,Melbourne,FL,United States
NYQ,DOW,Dow Inc.,Dow Inc.,Basic Materials,Chemicals,Midland,MI,United States
NMS,ODFL,Old Dominion Freight Line Inc.,Old Dominion Freight Line Inc.,Industrials,Trucking,Thomasville,NC,United States
NYQ,CNC,Centene Corporation,Centene Corporation,Healthcare,Healthcare Plans,Saint Louis,MO,United States
NYQ,HSY,Hershey Company,The Hershey Company,Consumer Defensive,Confectioners,Hershey,PA,United States
NYQ,KR,Kroger Company,The Kroger Co.,Consumer Defensive,Grocery Stores,Cincinnati,OH,United States
NYQ,CTVA,Corteva Inc.,Corteva Inc.,Basic Materials,Agricultural Inputs,Indianapolis,IN,United States
NYQ,FIS,Fidelity National Information S,Fidelity National Information Services Inc.,Technology,Information Technology Services,Jacksonville,FL,United States
NMS,IDXX,IDEXX Laboratories Inc.,IDEXX Laboratories Inc.,Healthcare,Diagnostics & Research,Westbrook,ME,United States
NYQ,GIS,General Mills Inc.,General Mills Inc.,Consumer Defensive,Packaged Foods,Minneapolis,MN,United States
NYQ,PWR,Quanta Services Inc.,Quanta Services Inc.,Industrials,Engineering & Construction,Houston,TX,United States
